# x	y	u	v	mask
 32.0000	480.0000	  0.0080	  0.0318	  0.0000
 64.0000	480.0000	  0.0016	  0.1049	  0.0000
 96.0000	480.0000	 -0.0118	  0.1615	  0.0000
128.0000	480.0000	  0.0036	  0.2285	  0.0000
160.0000	480.0000	  0.0015	  0.4548	  0.0000
192.0000	480.0000	 -0.0505	  0.4658	  0.0000
224.0000	480.0000	 -0.0667	  0.5066	  0.0000
256.0000	480.0000	 -0.0756	  0.7563	  0.0000
288.0000	480.0000	 -0.0468	  0.8359	  0.0000
320.0000	480.0000	 -0.0105	  0.7602	  0.0000
352.0000	480.0000	 -0.0462	  0.2802	  0.0000
384.0000	480.0000	 -0.0251	  0.1369	  0.0000
416.0000	480.0000	 -0.0198	  0.1379	  0.0000
448.0000	480.0000	 -0.0095	  0.0398	  0.0000
480.0000	480.0000	 -0.0100	  0.0252	  0.0000
 32.0000	448.0000	  0.0131	  0.0162	  0.0000
 64.0000	448.0000	  0.0162	  0.0423	  0.0000
 96.0000	448.0000	  0.0079	  0.0715	  0.0000
128.0000	448.0000	  0.0117	  0.1984	  0.0000
160.0000	448.0000	  0.0034	  0.3675	  0.0000
192.0000	448.0000	 -0.0184	  0.4061	  0.0000
224.0000	448.0000	 -0.0299	  0.5223	  0.0000
256.0000	448.0000	 -0.0304	  0.7315	  0.0000
288.0000	448.0000	 -0.0239	  0.7891	  0.0000
320.0000	448.0000	 -0.0062	  0.7093	  0.0000
352.0000	448.0000	 -0.0149	  0.3230	  0.0000
384.0000	448.0000	 -0.0108	  0.1651	  0.0000
416.0000	448.0000	 -0.0108	  0.1409	  0.0000
448.0000	448.0000	 -0.0085	  0.0556	  0.0000
480.0000	448.0000	 -0.0003	  0.0127	  0.0000
 32.0000	416.0000	  0.0248	  0.0126	  0.0000
 64.0000	416.0000	  0.0303	  0.0236	  0.0000
 96.0000	416.0000	  0.0211	  0.0662	  0.0000
128.0000	416.0000	  0.0158	  0.3341	  0.0000
160.0000	416.0000	 -0.0071	  0.6191	  0.0000
192.0000	416.0000	  0.0221	  0.4386	  0.0000
224.0000	416.0000	  0.0262	  0.5028	  0.0000
256.0000	416.0000	  0.0238	  0.6832	  0.0000
288.0000	416.0000	  0.0129	  0.7984	  0.0000
320.0000	416.0000	  0.0010	  0.8479	  0.0000
352.0000	416.0000	  0.0105	  0.6645	  0.0000
384.0000	416.0000	 -0.0064	  0.1937	  0.0000
416.0000	416.0000	 -0.0215	  0.0876	  0.0000
448.0000	416.0000	 -0.0139	  0.0332	  0.0000
480.0000	416.0000	 -0.0049	 -0.0139	  0.0000
 32.0000	384.0000	  0.0249	  0.0202	  0.0000
 64.0000	384.0000	  0.0318	  0.0281	  0.0000
 96.0000	384.0000	  0.0350	  0.0531	  0.0000
128.0000	384.0000	  0.0322	  0.3450	  0.0000
160.0000	384.0000	 -0.0085	  0.6411	  0.0000
192.0000	384.0000	  0.0523	  0.3446	  0.0000
224.0000	384.0000	  0.0341	  0.4073	  0.0000
256.0000	384.0000	  0.0322	  0.5531	  0.0000
288.0000	384.0000	  0.0257	  0.6444	  0.0000
320.0000	384.0000	  0.0101	  0.7129	  0.0000
352.0000	384.0000	  0.0147	  0.5364	  0.0000
384.0000	384.0000	 -0.0126	  0.1970	  0.0000
416.0000	384.0000	 -0.0402	  0.0670	  0.0000
448.0000	384.0000	 -0.0340	  0.0264	  0.0000
480.0000	384.0000	 -0.0114	 -0.0142	  0.0000
 32.0000	352.0000	  0.0106	  0.0280	  0.0000
 64.0000	352.0000	  0.0202	  0.0362	  0.0000
 96.0000	352.0000	  0.0382	  0.0519	  0.0000
128.0000	352.0000	  0.0424	  0.2592	  0.0000
160.0000	352.0000	 -0.0057	  0.5335	  0.0000
192.0000	352.0000	  0.0196	  0.3350	  0.0000
224.0000	352.0000	  0.0118	  0.3467	  0.0000
256.0000	352.0000	 -0.0113	  0.6595	  0.0000
288.0000	352.0000	 -0.0205	  0.7235	  0.0000
320.0000	352.0000	 -0.0093	  0.7162	  0.0000
352.0000	352.0000	  0.0031	  0.6268	  0.0000
384.0000	352.0000	 -0.0272	  0.2629	  0.0000
416.0000	352.0000	 -0.0473	  0.0783	  0.0000
448.0000	352.0000	 -0.0726	  0.0531	  0.0000
480.0000	352.0000	 -0.0191	  0.0133	  0.0000
 32.0000	320.0000	  0.0068	  0.0198	  0.0000
 64.0000	320.0000	  0.0098	  0.0247	  0.0000
 96.0000	320.0000	  0.0195	  0.0552	  0.0000
128.0000	320.0000	  0.0501	  0.2058	  0.0000
160.0000	320.0000	  0.0153	  0.4595	  0.0000
192.0000	320.0000	 -0.0116	  0.3249	  0.0000
224.0000	320.0000	 -0.0161	  0.3338	  0.0000
256.0000	320.0000	 -0.0189	  0.6829	  0.0000
288.0000	320.0000	 -0.0209	  0.7599	  0.0000
320.0000	320.0000	 -0.0033	  0.7862	  0.0000
352.0000	320.0000	  0.0036	  0.7260	  0.0000
384.0000	320.0000	 -0.0257	  0.2895	  0.0000
416.0000	320.0000	 -0.0275	  0.0979	  0.0000
448.0000	320.0000	 -0.0394	  0.0987	  0.0000
480.0000	320.0000	 -0.0057	  0.0709	  0.0000
 32.0000	288.0000	 -0.0017	  0.0009	  0.0000
 64.0000	288.0000	  0.0068	  0.0114	  0.0000
 96.0000	288.0000	  0.0181	  0.0569	  0.0000
128.0000	288.0000	  0.0333	  0.1359	  0.0000
160.0000	288.0000	 -0.0031	  0.2139	  0.0000
192.0000	288.0000	 -0.0484	  0.2376	  0.0000
224.0000	288.0000	 -0.0646	  0.4549	  0.0000
256.0000	288.0000	 -0.0165	  0.6354	  0.0000
288.0000	288.0000	  0.0077	  0.6574	  0.0000
320.0000	288.0000	  0.0237	  0.7496	  0.0000
352.0000	288.0000	  0.0228	  0.7068	  0.0000
384.0000	288.0000	 -0.0019	  0.3131	  0.0000
416.0000	288.0000	 -0.0022	  0.1398	  0.0000
448.0000	288.0000	 -0.0144	  0.1108	  0.0000
480.0000	288.0000	 -0.0022	  0.0746	  0.0000
 32.0000	256.0000	 -0.0021	 -0.0005	  0.0000
 64.0000	256.0000	  0.0025	 -0.0041	  0.0000
 96.0000	256.0000	  0.0089	  0.0119	  0.0000
128.0000	256.0000	 -0.0020	  0.0911	  0.0000
160.0000	256.0000	 -0.0490	  0.1952	  0.0000
192.0000	256.0000	 -0.0901	  0.2654	  0.0000
224.0000	256.0000	 -0.0260	  0.6550	  0.0000
256.0000	256.0000	 -0.0039	  0.7675	  0.0000
288.0000	256.0000	  0.0121	  0.7042	  0.0000
320.0000	256.0000	  0.0101	  0.6427	  0.0000
352.0000	256.0000	  0.0050	  0.6053	  0.0000
384.0000	256.0000	  0.0020	  0.3001	  0.0000
416.0000	256.0000	 -0.0039	  0.1238	  0.0000
448.0000	256.0000	  0.0057	  0.0959	  0.0000
480.0000	256.0000	 -0.0203	  0.0468	  0.0000
 32.0000	224.0000	 -0.0016	  0.0017	  0.0000
 64.0000	224.0000	  0.0071	  0.0017	  0.0000
 96.0000	224.0000	  0.0214	  0.0254	  0.0000
128.0000	224.0000	  0.0029	  0.0823	  0.0000
